序号,名称,类别,地区,时长,上映日期,评分,封面,详情页
1,霸王别姬 - Farewell My Concubine,"剧情, 爱情",中国内地、中国香港,171 分钟,1993-07-26,9.5,https://p0.meituan.net/movie/ce4da3e03e655b5b88ed31b5cd7896cf62472.jpg@464w_644h_1e_1c,https://ssr2.scrape.center/detail/1
2,这个杀手不太冷 - Léon,"剧情, 动作, 犯罪",法国,110 分钟,1994-09-14,9.5,https://p1.meituan.net/movie/6bea9af4524dfbd0b668eaa7e187c3df767253.jpg@464w_644h_1e_1c,https://ssr2.scrape.center/detail/2
3,肖申克的救赎 - The Shawshank Redemption,"剧情, 犯罪",美国,142 分钟,1994-09-10,9.5,https://p0.meituan.net/movie/283292171619cdfd5b240c8fd093f1eb255670.jpg@464w_644h_1e_1c,https://ssr2.scrape.center/detail/3
4,泰坦尼克号 - Titanic,"剧情, 爱情, 灾难",美国,194 分钟,1998-04-03,9.5,https://p1.meituan.net/movie/b607fba7513e7f15eab170aac1e1400d878112.jpg@464w_644h_1e_1c,https://ssr2.scrape.center/detail/4
5,罗马假日 - Roman Holiday,"剧情, 喜剧, 爱情",美国,118 分钟,1953-08-20,9.5,https://p0.meituan.net/movie/289f98ceaa8a0ae737d3dc01cd05ab052213631.jpg@464w_644h_1e_1c,https://ssr2.scrape.center/detail/5
6,唐伯虎点秋香 - Flirting Scholar,"喜剧, 爱情, 古装",中国香港,102 分钟,1993-07-01,9.5,https://p0.meituan.net/movie/da64660f82b98cdc1b8a3804e69609e041108.jpg@464w_644h_1e_1c,https://ssr2.scrape.center/detail/6
7,乱世佳人 - Gone with the Wind,"剧情, 爱情, 历史, 战争",美国,238 分钟,1939-12-15,9.5,https://p0.meituan.net/movie/223c3e186db3ab4ea3bb14508c709400427933.jpg@464w_644h_1e_1c,https://ssr2.scrape.center/detail/7
8,喜剧之王 - The King of Comedy,"剧情, 喜剧, 爱情",中国香港,85 分钟,1999-02-13,9.5,https://p0.meituan.net/movie/1f0d671f6a37f9d7b015e4682b8b113e174332.jpg@464w_644h_1e_1c,https://ssr2.scrape.center/detail/8
9,楚门的世界 - The Truman Show,"剧情, 科幻",美国,103 分钟,,9.0,https://p0.meituan.net/movie/8959888ee0c399b0fe53a714bc8a5a17460048.jpg@464w_644h_1e_1c,https://ssr2.scrape.center/detail/9
10,狮子王 - The Lion King,"动画, 歌舞, 冒险",美国,89 分钟,1995-07-15,9.0,https://p0.meituan.net/movie/27b76fe6cf3903f3d74963f70786001e1438406.jpg@464w_644h_1e_1c,https://ssr2.scrape.center/detail/10
